Grade,Teacher ID,Studio ID,Class Size,0,1,2,3,4,5,6,7,8,9
5,C,18599709,23,2,7,3,1,4,1,1,2,1,1
5,E,18637939,15,2,2,1,6,0,0,0,0,0,4
5,H,19414831,27,6,3,0,3,2,0,0,3,5,5
6,D,18427212,28,2,1,2,13,2,1,1,0,1,5
6,F,19422201,24,4,3,2,9,2,3,0,1,0,0
6,H,19442820,16,5,2,0,3,2,0,2,1,0,1
7,A,18266750,7,1,0,0,3,1,0,1,0,1,0
7,B,18405480,19,10,1,0,6,1,0,0,0,1,0
7,B,18630602,17,9,0,0,7,1,0,0,0,0,0
7,D,18444068,27,8,6,0,4,1,1,1,1,1,4
8,D,18403132,24,7,0,0,10,1,1,0,0,0,5
