ID,Error grading project,Background has an image.,There are at least 3 sprites.,A sprite is animated in place.,A second sprite is animated in place.,A different sprite is animated while moving.
Alexander01M,0,1,1,0,0,0
Bass02M,0,1,1,0,0,0
Cardoso03M,0,1,1,1,1,1
Christon04M,0,1,1,0,0,0
Fenner07M,0,1,1,0,0,1
Fisher08M,0,1,1,1,1,0
Foster24M,0,1,1,0,0,0
Grayso09M,0,1,1,1,1,0
Griffin10M,0,1,1,0,0,0
Johnson25M,0,1,1,0,0,0
Nelson13M,0,1,1,0,0,0
Norris22m,0,1,1,0,0,0
Reed14M,0,1,1,0,0,0
Royal15M,0,1,1,0,0,0
ScratchEncorePD2018,0,1,1,0,0,0
Seymour16M,0,1,1,1,0,1
Stewart17M,0,1,1,1,1,1
Talley18M,0,1,1,0,0,0
holland11M,0,1,1,0,0,0
