Grade,Teacher ID,Studio ID,Class Size,Vehicle sprite stops when touching another sprite or another color,Vehicle sprite says something or makes a sound when it stops,Vehicle sprite moves across the stage in a looping fashion,Total
5,C,18445922,26,80.77,34.62,92.31,69.23
5,E,18637686,26,38.46,34.62,38.46,37.18
5,H,19414231,9,66.67,33.33,44.44,48.15
6,D,18422182,28,53.57,35.71,42.86,44.05
6,F,18639834,3,100.0,0.0,100.0,66.67
6,F,19404592,20,40.0,0.0,40.0,26.67
6,F,19418351,8,100.0,0.0,87.5,62.5
6,F,19441226,5,100.0,20.0,100.0,73.33
6,H,19442590,12,66.67,33.33,58.33,52.78
7,A,20143901,19,52.63,42.11,63.16,52.63
7,B,18405128,18,44.44,22.22,44.44,37.04
7,B,18609572,24,16.67,4.17,16.67,12.5
7,D,18432668,30,50.0,33.33,36.67,40.0
7,J,19446011,14,21.43,0.0,21.43,14.29
8,D,18401200,25,32.0,8.0,40.0,26.67
