ID,Error grading project,Background has an image.,There are at least 3 sprites.,A sprite is animated in place.,A second sprite is animated in place.,A different sprite is animated while moving.
115H1,0,1,1,1,1,1
115H10,0,1,1,1,1,1
115H11,0,1,1,0,0,0
115H12,0,1,1,0,0,0
115H14,0,1,1,1,0,1
115H15,0,1,1,1,1,0
115H16,0,1,1,1,1,1
115H17,0,1,1,1,1,0
115H18,0,1,1,1,1,1
115H2,0,1,1,1,1,0
115H21,0,1,1,0,0,1
115H23,0,1,1,1,1,1
115H25,0,1,1,0,0,0
115H26,0,1,1,1,1,0
115H27,0,1,1,1,1,0
115H28,0,1,1,1,1,0
115H29,0,1,1,0,0,0
115H3,0,1,1,1,1,0
115H4,0,1,1,1,0,1
115H5,0,1,1,1,1,1
115H6,0,1,1,1,1,1
115H7,0,1,1,1,1,1
115H8,0,1,1,1,1,1
115H9,0,1,1,0,0,0
