ID,Error grading project,Car's costume has been changed.,Car stops at something other than the stop sign.,Car says something after it stops.,Changed the speed of the car.
115H1,0,1,1,0,1
115H10,0,1,1,0,1
115H11,0,1,1,0,1
115H12,0,1,1,0,1
115H15,0,1,1,0,0
115H16,0,1,0,0,1
115H17,0,1,1,0,1
115H18,0,1,1,0,1
115H2,0,0,0,1,1
115H21,0,0,1,1,1
115H23,0,1,1,0,0
115H24,0,1,0,0,1
115H25,0,1,0,0,1
115H26,0,1,0,1,1
115H27,0,1,1,0,1
115H28,0,1,0,0,1
115H29,0,1,1,0,0
115H3,0,1,0,1,1
115H4,0,0,0,1,1
115H5,0,0,0,0,1
115H6,0,1,1,1,1
115H7,0,1,1,1,1
115H8,0,1,1,0,1
115H9,0,1,1,0,1
