ID,Error grading project,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.
16JCL220,0,1,1,1,1
18JCL220,0,1,1,1,1
1JCL220,0,1,1,1,0
21JCL220,0,0,0,0,1
22JCL220,0,1,1,1,1
23JCL220,0,1,1,1,0
24JCL220,0,1,1,1,1
26JCL220,0,1,1,1,1
28JCL220,0,1,1,1,1
31JCL220,0,1,1,1,1
33JCL220,0,1,1,1,1
34JCL220,0,0,0,0,1
4JCL220,0,1,1,1,1
5JCL220,0,0,0,0,0
6JCL220,0,1,1,1,1
8JCL220,0,1,1,1,1
9JCL220,0,1,1,1,1
