ID,Error grading project,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.
10nipoe303,0,1,1,1,1
11cjpoe303,0,1,1,1,1
12skpoe303,0,1,1,1,0
13ampoe303,0,1,1,1,1
14ampoe303,0,1,1,1,0
15bmpoe303,0,1,1,1,1
16mnpoe303,0,1,1,1,1
17znpoe303,0,1,1,1,1
18eopoe303,0,1,1,1,1
19zppoe303,0,0,0,0,0
1oapoe303,0,1,1,1,1
20aspoe303,0,1,1,1,1
21nspoe303,0,0,0,0,0
22lspoe303,0,1,1,1,1
23bspoe303,0,1,1,1,1
24nspoe303,0,1,1,1,1
25atpoe303,0,1,1,0,1
26ctpoe303,0,1,1,1,1
27awpoe303,0,1,1,1,1
28mwpoe303,0,1,1,1,1
29awpoe303,0,1,1,1,1
2bbpoe303,0,1,1,1,1
30mwpoe303,0,0,0,0,0
3sbpoe303,0,1,1,1,1
4mcpoe303,0,1,1,0,1
5mcpoe303,0,1,1,1,1
6mcpoe303,0,1,1,1,1
7jepoe303,0,1,1,1,1
8bgpoe303,0,1,1,1,1
9tgpoe303,0,0,0,0,0
