ID,Error grading project,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.
10JCL210,0,0,0,0,0
11JCL210,0,1,1,1,1
12JCL210,0,0,0,0,0
13JCL210,0,0,0,0,1
14JCL210,0,0,0,0,1
16JCL210,0,0,0,0,0
17JCL210,0,0,0,0,1
18JCL210,0,1,1,1,1
1JCL210,0,0,0,0,0
20JCL210,0,0,0,0,1
25JCL210,0,0,0,0,1
26JCL210,0,1,1,1,1
28JCL210,0,0,0,0,0
2JCL210,0,1,1,1,1
31JCL210,0,0,0,0,1
32JCL210,0,1,1,1,1
33JCL210,0,0,0,0,0
3JCL210,0,0,0,0,0
4JCL210,0,0,0,0,0
5JCL210,0,0,0,0,0
6JCL210,0,0,0,0,1
7JCL210,0,1,1,1,1
9JCL210,0,0,0,0,0
